baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSEMBL	ENTREZID
Bace2	74.6500108598369	-6.19800434411602	0.845180317147662	-7.33335149714941	2.24467187002982e-13	1.26698508636153e-10	ENSMUSG00000040605	56175
Cxcl10	176.561562019271	-2.32207068299088	0.317038294605578	-7.32425931662205	2.40221776747611e-13	1.26698508636153e-10	ENSMUSG00000034855	15945
Evl	497.684463329802	-1.49620243173927	0.204159068941294	-7.32861116333511	2.325500251876e-13	1.26698508636153e-10	ENSMUSG00000021262	14026
1700019D03Rik	215.697125198814	-2.24914617013098	0.307643633341345	-7.3108815732762	2.65395364389337e-13	1.34791356735962e-10	ENSMUSG00000043629	67080
Mir6236	806.684236511666	-1.95945168537545	0.26932433999685	-7.27543483592448	3.45306349022181e-13	1.69113784433613e-10	ENSMUSG00000098973	102465959
Gm10073	1928.31745272865	-0.981278739928197	0.134970194653877	-7.27033655426393	3.58592953591518e-13	1.69565005951741e-10	NA	100042734
Acoxl	154.701435328357	-2.452910797894	0.338007031355821	-7.25698157240942	3.95823604935298e-13	1.80930969815925e-10	ENSMUSG00000027380	74121
Osbpl3	2624.65039348305	0.859227750756262	0.120205797910894	7.14797260772057	8.8068879796748e-13	3.89576951178325e-10	ENSMUSG00000029822	71720
Serpinb9	8395.01026791606	0.822230483090188	0.115589570274474	7.11336222755876	1.13249531976484e-12	4.85309634997979e-10	ENSMUSG00000045827	20723
Sema4a	1554.88269152258	-1.21568629166237	0.171820386721164	-7.07533206542732	1.49091312857975e-12	6.19542173703459e-10	ENSMUSG00000028064	20351
Kit	80.1493973316758	-3.63244266430678	0.516077893186665	-7.03855505586039	1.94243552347115e-12	7.83429950981171e-10	ENSMUSG00000005672	16590
Ifngas1	51.3387351371462	-4.35851822526708	0.595367584967054	-7.32071804935143	2.46647580050286e-13	8.80408536989496e-10	ENSMUSG00000112230	103214
Rps19	3322.03448149516	-0.91219753297065	0.130490490578739	-6.99052880347802	2.73852064175484e-12	1.07295238743955e-09	ENSMUSG00000040952	20085
Cpm	156.291638909175	-2.22606214943253	0.320512098627489	-6.94532954907186	3.77577864588737e-12	1.4382570158626e-09	ENSMUSG00000020183	70574
Rpl36	822.1227603924	-1.17753012054425	0.169737303650876	-6.93736789271882	3.99472580241899e-12	1.48053175482626e-09	ENSMUSG00000057863	54217
Rplp1	3994.49704637137	-0.904929276857008	0.132445239851892	-6.83247867472588	8.34598160677838e-12	3.01180120457242e-09	ENSMUSG00000007892	56040
Ptp4a3	1051.16263318306	-1.15099153244366	0.168956953361114	-6.81233597994413	9.60265129667459e-12	3.37643992900766e-09	ENSMUSG00000059895	19245
Btg2	1329.50533272158	-0.940063658497004	0.139367043886707	-6.74523640797887	1.5277806012881e-11	5.17720299158232e-09	ENSMUSG00000020423	12227
Cxcr6	6370.00598597991	0.873413710433763	0.129522507417697	6.74333540823986	1.54791309454441e-11	5.17720299158232e-09	ENSMUSG00000048521	80901
Samhd1	5095.25580746606	0.749465153091989	0.112250288424623	6.67673253770977	2.44328258384259e-11	7.97731763624604e-09	ENSMUSG00000027639	56045
Pgls	1281.13525018878	-0.994659255553247	0.149130425775535	-6.66972718934208	2.56279367574042e-11	8.17292783149496e-09	ENSMUSG00000031807	66171
Il21	183.525247788277	2.02483336365397	0.304985468945409	6.63911421962337	3.15573792608362e-11	9.8351441319056e-09	ENSMUSG00000027718	60505
Ctla2b	781.685484763576	-1.22878590109848	0.185749339380756	-6.61529082792412	3.70821984310028e-11	1.13001819352076e-08	ENSMUSG00000074874	13025
Trbv1	116.094508369779	2.68474373985137	0.408308125011687	6.57528855144513	4.8558905195773e-11	1.44758318902095e-08	ENSMUSG00000076461	621968
Pik3cg	1286.92856225863	0.925425814747974	0.141263174543232	6.55107615796045	5.71239153944183e-11	1.63428582567079e-08	ENSMUSG00000020573	30955
Prss34	96.9126162571983	-9.96034248757453	1.52046255174671	-6.55086340412138	5.72053669016249e-11	1.63428582567079e-08	ENSMUSG00000056399	328780
Rpl36-ps2	857.523299900503	-1.11810064997948	0.171518327740422	-6.51884066682148	7.08528661324986e-11	1.98286806790807e-08	NA	100043483
Cnot1	934.855536445138	1.01001760031198	0.15540241768988	6.49936864127535	8.06577938532407e-11	2.21212065421898e-08	ENSMUSG00000036550	234594
Lztfl1	331.39984328801	1.47357679533372	0.226894011840514	6.49456009605714	8.32763832435168e-11	2.2391549870948e-08	ENSMUSG00000025245	93730
Cd109	158.785247450919	2.319862826609	0.359067028579553	6.46080715287682	1.04145972161874e-10	2.74644945433803e-08	ENSMUSG00000046186	235505
Nos1	227.716871736445	1.82584089937519	0.283510953979609	6.44010707080656	1.19389249423513e-10	3.08902788178232e-08	ENSMUSG00000029361	18125
Aicda	82.8188044066329	-2.9014843786273	0.452049315916363	-6.418512928718	1.37611922494883e-10	3.4945783206895e-08	ENSMUSG00000040627	11628
Klf6	1648.68560172403	0.955268620535939	0.148993775452058	6.41146663770072	1.441263020316e-10	3.5934617813806e-08	ENSMUSG00000000078	23849
Nccrp1	194.889178430488	2.29180585284533	0.358026516172106	6.40121820402721	1.54142093388636e-10	3.77455451185423e-08	ENSMUSG00000047586	233038
Lax1	1816.33131099681	-0.924068953522522	0.145017353980951	-6.37212670177324	1.86424769372575e-10	4.48498747790548e-08	ENSMUSG00000051998	240754
Gzmb	24918.3850030844	0.631729039384305	0.0993128357109422	6.36100092059602	2.00443243420959e-10	4.73910033970968e-08	ENSMUSG00000015437	14939
Gm15427	7589.68992241273	-0.737381956570644	0.116198365095097	-6.34588925556025	2.21144279409719e-10	5.13991780261945e-08	ENSMUSG00000081051	100041686
Tbc1d4	203.810800946384	-1.91305437835262	0.301610567913471	-6.34279624744931	2.25631761540586e-10	5.1568139100101e-08	ENSMUSG00000033083	210789
Uqcr11	1741.77524232102	-0.855610901027463	0.135267793844377	-6.32531127115022	2.52722617781901e-10	5.68128730761181e-08	ENSMUSG00000020163	66594
2410006H16Rik	657.1372467512	-1.16832120457217	0.184992670906383	-6.31549995385174	2.69289467377242e-10	5.95347709550586e-08	ENSMUSG00000086841	69221
Serp2	191.538839110969	1.72610186985556	0.273416207232075	6.31309272895608	2.73513495965047e-10	5.95347709550586e-08	ENSMUSG00000052584	72661
Ptpn18	1387.12823123262	-0.987242607429807	0.15661727478291	-6.30353585706456	2.90930865748651e-10	6.23364837814258e-08	ENSMUSG00000026126	19253
Klhdc2	1969.51395152031	0.801880069322092	0.128404781412989	6.24493932778873	4.23964652737725e-10	8.94434966614219e-08	ENSMUSG00000020978	69554
Gm24245	126.305363776505	-2.84499711683611	0.455896208596318	-6.24044917064723	4.36316162912187e-10	9.06545991214368e-08	NA	NA
Tespa1	306.668697292116	-1.63938573680069	0.262828651129873	-6.23746965847576	4.44705326386295e-10	9.10185692647054e-08	ENSMUSG00000034833	67596
Gbp7	2859.38543893484	0.737760182449735	0.118358020399311	6.23329268232702	4.56731680606987e-10	9.21053167082885e-08	ENSMUSG00000040253	229900
Ccr7	404.750538836428	-1.33853461274906	0.215118617703937	-6.22230947295904	4.89889512698669e-10	9.73602157628528e-08	ENSMUSG00000037944	12775
Lgals3	12397.1262435888	0.706150186399462	0.11366660077001	6.21246858457803	5.21586107244202e-10	1.02178718409139e-07	ENSMUSG00000050335	16854
Akr7a5	243.278243162295	-1.62997869599114	0.262480971352661	-6.20989280705287	5.30207559060678e-10	1.02404736019705e-07	ENSMUSG00000028743	110198
1500009L16Rik	1778.97445149281	1.06781096389832	0.172988723203006	6.17272007173105	6.71249978672222e-10	1.27845152187947e-07	ENSMUSG00000087651	69784
Sytl3	1636.25116755799	0.856286228755047	0.139130764555825	6.15454268140295	7.52944451195016e-10	1.41440099441606e-07	ENSMUSG00000041831	83672
Ifngr1	11016.8105050954	0.704162391693976	0.114725780901908	6.13778687020697	8.36790222606297e-10	1.55066274629732e-07	ENSMUSG00000020009	15979
Trdc	2531.3541449964	0.870918840356212	0.142104392777383	6.12872567367125	8.85857122919716e-10	1.61970116354641e-07	NA	100123473
Izumo1r	85.4079134038288	-2.82297895442516	0.462773778227144	-6.10012729165383	1.05984030249942e-09	1.91231448265455e-07	ENSMUSG00000031933	64931
Muc20	44.5089696133851	3.22490739355937	0.497263512891556	6.48530871450177	8.8550281113111e-11	2.10720152288833e-07	ENSMUSG00000035638	224116
Ccr6	250.059661825086	-1.74347162186945	0.286986865138223	-6.07509204656364	1.23916620895982e-09	2.2068423666839e-07	ENSMUSG00000040899	12458
Satb1	1367.57743609316	-0.838153333851569	0.1381863078804	-6.06538626516451	1.31636896908975e-09	2.31427790681126e-07	ENSMUSG00000023927	20230
Prf1	4843.56140701715	0.762155451293081	0.126028421644631	6.04748866443927	1.47121014744707e-09	2.55376009518249e-07	ENSMUSG00000037202	18646
Podnl1	536.65497829682	1.22762989931306	0.203319991666494	6.03792027164129	1.56113160216513e-09	2.6759747075613e-07	ENSMUSG00000012889	244550
Gm24270	92.8188989291833	-3.14663339256064	0.522747074773418	-6.01941846145105	1.75044805444379e-09	2.96344372476391e-07	NA	NA
Tmem154	1291.43091130847	0.913587263538087	0.151979167030272	6.01126642150968	1.84079595306082e-09	3.07839450052721e-07	ENSMUSG00000056498	320782
Tox2	910.697007129023	1.00300542206653	0.167148961329395	6.00066799152844	1.96507425923976e-09	3.24663413457287e-07	ENSMUSG00000074607	269389
Rap2a	239.825177092765	-1.56773851648589	0.261567319977048	-5.9936329837514	2.05204209947017e-09	3.34995872738505e-07	ENSMUSG00000051615	76108
Gm9844	4066.31753159668	-0.708796337490988	0.118446656590506	-5.98409746542226	2.17592996350466e-09	3.51041501053405e-07	ENSMUSG00000091955	100043712
Top2a	3809.03137322478	0.775833396645307	0.129937387573368	5.97082495757611	2.36056903155354e-09	3.76400966624346e-07	ENSMUSG00000020914	21973
Hist1h1b	785.72807247264	-1.46303895719921	0.245208517353498	-5.9665095364125	2.42382578673073e-09	3.82045092108489e-07	NA	NA
Itga1	62.2139585790359	-3.71367311407319	0.626282448261705	-5.92970970906302	3.03470707026175e-09	4.72897023346584e-07	ENSMUSG00000042284	109700
Prdm1	1155.7366004355	1.06241452759324	0.180409627550115	5.88890150719988	3.8877104508596e-09	5.99013184411659e-07	ENSMUSG00000038151	12142
Ncapg2	1173.22630356808	1.01457721431788	0.172898259684348	5.868059147444	4.40925971648955e-09	6.64441521892541e-07	ENSMUSG00000042029	76044
Npepl1	1301.05506118852	-0.923397926115371	0.157347291528506	-5.86853397440325	4.39665315164976e-09	6.64441521892541e-07	ENSMUSG00000039263	228961
Ap1s2	495.821767584568	1.18675798902228	0.202496858313717	5.86062420377756	4.61130477794639e-09	6.86057223813898e-07	ENSMUSG00000031367	108012
Gm8730	2203.54233507881	-0.797377150169835	0.136091206858252	-5.85913791623844	4.65276174540163e-09	6.86057223813898e-07	ENSMUSG00000063696	667618
Rpl29	1311.20730753629	-0.909490249014308	0.155309436113119	-5.85598835316024	4.74181450974565e-09	6.91750025235554e-07	ENSMUSG00000048758	19944
Rpsa	2966.87401588909	-0.865691230460975	0.147877107212554	-5.85412608333388	4.79524747378231e-09	6.92181353768177e-07	ENSMUSG00000032518	16785
Ltb	3050.78483268793	-0.922370295134237	0.157851999014426	-5.84326014807036	5.11889820723881e-09	7.31202615790269e-07	ENSMUSG00000024399	16994
Arl6ip1	11418.3745823824	0.669273928175587	0.114956241217294	5.82198862009156	5.81515098332297e-09	8.22094489013483e-07	ENSMUSG00000030654	54208
Ptprcap	9678.9567758613	-0.710206208733627	0.122124626757395	-5.81542173426231	6.04812065361815e-09	8.46304882888425e-07	ENSMUSG00000045826	19265
Emp1	443.172021373852	1.27858474632389	0.220160727448305	5.80750600319539	6.34102788753566e-09	8.78328438603803e-07	ENSMUSG00000030208	13730
Blvrb	97.5543841709244	-2.31907574570296	0.399552128968463	-5.80418818363	6.46786035475638e-09	8.86937690447743e-07	ENSMUSG00000040466	233016
Ppic	222.444887876127	-1.63441417365451	0.281915181378665	-5.79753869820576	6.72952554244727e-09	9.13683007560193e-07	ENSMUSG00000024538	19038
Capg	1750.93628648746	0.94630560102721	0.163883701965774	5.77425082345797	7.72962223020417e-09	1.02909038488145e-06	ENSMUSG00000056737	12332
Ifitm3	218.958968716781	-1.9151186448628	0.331636667107045	-5.77474940141237	7.70676988558588e-09	1.02909038488145e-06	ENSMUSG00000025492	66141
Zyx	5506.4648573657	-0.832775398248962	0.144424295289907	-5.76617248903525	8.10920654090195e-09	1.06924566630181e-06	ENSMUSG00000029860	22793
Cd74	311.945634529034	-1.42885544885632	0.248805467287229	-5.74286194124024	9.30896222996818e-09	1.19302615943508e-06	ENSMUSG00000024610	16149
Rpsa-ps10	2254.44789050836	-0.888351059156351	0.154670476329985	-5.74350761848746	9.27351894491889e-09	1.19302615943508e-06	ENSMUSG00000047676	100040633
Lamc1	500.216807151316	1.13669326371651	0.198270610349231	5.73303961547481	9.86465811719007e-09	1.25253756260211e-06	ENSMUSG00000026478	226519
Hjurp	2260.2403645896	0.743761108868265	0.12983535257212	5.72849454431239	1.0132581114092e-08	1.27475307172058e-06	ENSMUSG00000044783	381280
Prex1	5278.93454430721	0.828626540327035	0.144743211348572	5.72480417289849	1.03553117643453e-08	1.29093082022243e-06	ENSMUSG00000039621	277360
Ndufs7	1623.84317079306	-0.832389704192627	0.146234923018037	-5.69214033839205	1.25456668464922e-08	1.54989846365718e-06	ENSMUSG00000020153	75406
Crtam	947.630208921027	-0.889462300083101	0.15645047552356	-5.68526427999995	1.30610521915867e-08	1.5991625777074e-06	ENSMUSG00000032021	54698
Btla	482.626591931816	-1.1557532298491	0.203457338545443	-5.68056791714571	1.34248229559781e-08	1.62915572739229e-06	ENSMUSG00000052013	208154
Trbv12-1	71.3248609252549	-2.77919584582703	0.490285557909793	-5.66852480353576	1.4403222228017e-08	1.73255602116489e-06	ENSMUSG00000095574	100124672
Ttc39c	312.460322927207	-1.26548155368281	0.223978381504858	-5.65001651132732	1.60432426433007e-08	1.91305205537028e-06	ENSMUSG00000024424	72747
Acot7	1195.80133428959	-0.796236690216923	0.141089603440691	-5.64348237431704	1.66644594056915e-08	1.96999768819179e-06	ENSMUSG00000028937	70025
Mpo	40.0672107908368	-5.23430177266825	0.931466778292438	-5.61941863591073	1.91601083491781e-08	2.24566295548957e-06	ENSMUSG00000009350	17523
Unc93b1	465.788523971883	-1.31796041576832	0.234959505692154	-5.6093087695508	2.03136317707588e-08	2.36068502095268e-06	ENSMUSG00000036908	54445
Serpinb6b	3807.29662393465	0.71308740735697	0.127229682927111	5.60472517852218	2.08585655135804e-08	2.40364293182965e-06	ENSMUSG00000042842	20708
Mcpt8	41.4216758610146	-8.73548401360589	1.56087075544006	-5.59654537902022	2.18665106501034e-08	2.49879550454056e-06	ENSMUSG00000022157	17231
Rfwd3	598.377797836072	0.987763968975792	0.178616141205637	5.53009354198621	3.20060070960609e-08	3.62725930006845e-06	ENSMUSG00000033596	234736
Wdr95	230.546262357496	-1.56689547508635	0.283564266578485	-5.52571554234483	3.28145434907673e-08	3.68840848269584e-06	ENSMUSG00000029658	381693
Ifnar2	497.234522511547	-1.02994810772	0.186897322680648	-5.51076972611255	3.57267872171976e-08	3.9831010821905e-06	ENSMUSG00000022971	15976
Cep57	1375.86755983297	0.751657656040169	0.136515718942235	5.50601543810663	3.67046356178265e-08	4.05911829215528e-06	ENSMUSG00000031922	74360
Ctsw	4239.11379228345	-0.811022892157872	0.147367615717462	-5.50339970019457	3.72536509502142e-08	4.0868745238423e-06	ENSMUSG00000024910	13041
Ywhah	5709.50240413245	0.593195989474684	0.107993106922876	5.49290604166355	3.9537316711584e-08	4.3029779687774e-06	ENSMUSG00000018965	22629
Klrb1c	121.581346682485	-1.97325556474989	0.360152550180335	-5.47894375247891	4.27872341846038e-08	4.62001056986986e-06	ENSMUSG00000030325	17059
Tmem221	223.89551633985	-1.45927081388927	0.266480319509791	-5.47609225541949	4.34821055265644e-08	4.65836025848264e-06	ENSMUSG00000043664	434325
Dtl	1320.7554739369	0.798895317243535	0.146412384722977	5.45647363612786	4.85683349059042e-08	5.16292695011368e-06	ENSMUSG00000037474	76843
Topbp1	1549.17490799685	0.780682384593439	0.143438843510691	5.44261488371001	5.25040772145985e-08	5.53837239110608e-06	ENSMUSG00000032555	235559
Nhp2	2221.4726220735	-0.682998094471819	0.125715799413231	-5.43287397176536	5.54535742608922e-08	5.80484628885202e-06	ENSMUSG00000001056	52530
Trdv1	204.561617085015	1.74851325481583	0.321990735560029	5.43032162641168	5.62525795603041e-08	5.84387593568523e-06	ENSMUSG00000076864	627813
Ctla4	2294.8649167472	0.847360771559875	0.156526875764382	5.41351616086298	6.17990139324513e-08	6.37180359440379e-06	ENSMUSG00000026011	12477
Rps5	6272.97798271309	-0.794706146757438	0.147600332875487	-5.38417584347752	7.27773303421411e-08	7.39255948875394e-06	ENSMUSG00000012848	20103
Trip12	1219.54869928313	0.790039229976753	0.146729495340024	5.38432459094847	7.27171771763526e-08	7.39255948875394e-06	ENSMUSG00000026219	14897
Slf2	458.237646848683	1.03858346505101	0.193183585559301	5.37614757508579	7.60964285035532e-08	7.67287002992078e-06	ENSMUSG00000036097	226151
Sept11	3248.83631640479	0.687956660491026	0.128015553519037	5.3740084042891	7.70052660673173e-08	7.70783367577461e-06	NA	NA
Rpl14	2588.13163258472	-0.666073023170135	0.124105867364584	-5.36697448166107	8.00683798235515e-08	7.95636009072726e-06	ENSMUSG00000025794	67115
Nup210	4093.5624643282	0.796941426543276	0.148584455493292	5.36355854922694	8.15981856556939e-08	8.05004258918367e-06	ENSMUSG00000030091	54563
Tmsb10	3011.88490890197	-0.708159396807299	0.132124685838173	-5.35978112125585	8.33228411865628e-08	8.16147229422382e-06	ENSMUSG00000079523	19240
Atp5d	3905.70327255782	-0.641400785200195	0.119787542075006	-5.35448656921751	8.57996932246122e-08	8.34447654744047e-06	ENSMUSG00000003072	66043
Elf4	1328.55851298946	0.758946164082102	0.141832190487466	5.35101489636213	8.74623211808312e-08	8.44627331234323e-06	ENSMUSG00000031103	56501
Gpr18	969.162152990318	-0.842410383266121	0.157689950265638	-5.3421944889134	9.18280529649713e-08	8.80586077138917e-06	ENSMUSG00000050350	110168
Slc2a6	81.6732095058159	-2.85671995588438	0.534961176612193	-5.34005098084957	9.29204476113087e-08	8.84873679231858e-06	ENSMUSG00000036067	227659
Mrps24	1470.66868478432	-0.711423840851899	0.133498703387377	-5.32906929281208	9.87173308871252e-08	9.33593626520791e-06	ENSMUSG00000020477	64660
Cd28	4095.69194176788	0.651462062796877	0.122478408267933	5.31899517645379	1.04341901535448e-07	9.80027736818901e-06	ENSMUSG00000026012	12487
Cd7	476.297725924178	-1.03153774026105	0.194395163975093	-5.30639610146484	1.11813845370221e-07	1.04306344323935e-05	ENSMUSG00000025163	12516
Coro2a	1513.53714393258	0.708664498922699	0.133616999678663	5.30370013267004	1.13478665823428e-07	1.05144117867342e-05	ENSMUSG00000028337	107684
Map6	156.667625145048	1.91255808413971	0.361042531485057	5.29732072360806	1.17514186045058e-07	1.07224532602758e-05	ENSMUSG00000055407	17760
Mturn	74.4383972390258	2.45611467506446	0.463704758331864	5.29672087881977	1.17900703049224e-07	1.07224532602758e-05	ENSMUSG00000038065	68235
Mxi1	543.697397234152	1.05734090281695	0.199631655077846	5.29645913322031	1.18069747123288e-07	1.07224532602758e-05	ENSMUSG00000025025	17859
Gm6776	206.515371571774	1.4791188279406	0.279509555987631	5.29183634782795	1.21094231262583e-07	1.09247710085777e-05	NA	627624
Art2a-ps	77.6930025211963	2.35211528725992	0.444978841597179	5.28590365963781	1.25085715827075e-07	1.12111138636384e-05	NA	NA
Gm45552	487.616459555535	-1.16822066471304	0.221875403708404	-5.2652103170857	1.40028957683029e-07	1.24689421864116e-05	NA	NA
Hip1	975.990149050379	0.901154826517901	0.171230516284599	5.26281673425611	1.41864973151982e-07	1.25509314634395e-05	ENSMUSG00000039959	215114
Malt1	816.015868469592	0.982497402024223	0.186767927491812	5.26052526907918	1.43644461017544e-07	1.26269006021384e-05	ENSMUSG00000032688	240354
Srm	775.087865275314	-0.889382280192609	0.169409755391328	-5.24988822596538	1.52191528585586e-07	1.32930091177971e-05	ENSMUSG00000006442	20810
Ighv1-58	25.3845465440831	22.4469862269472	3.90938799413648	5.74181592121695	9.36666125346903e-09	1.33737189377031e-05	ENSMUSG00000095889	780939
Gm3788	1007.55533367524	-0.835859730205076	0.159921699924298	-5.22668112332941	1.7257975602686e-07	1.49007475872917e-05	NA	100042319
Tshz1	427.532619397936	1.17964765043915	0.225706149387	5.22647545777103	1.72771739690759e-07	1.49007475872917e-05	ENSMUSG00000046982	110796
Ndufs8	2971.14106712193	-0.654525869875291	0.125301777689809	-5.22359604103627	1.75481382308851e-07	1.49273981724162e-05	ENSMUSG00000059734	225887
Rap1b	15583.3706880487	0.645824462650304	0.123604461210878	5.22492842348533	1.74222490434421e-07	1.49273981724162e-05	ENSMUSG00000052681	215449
Serpinb1a	131.696844822057	-6.14776414176919	1.17712692694784	-5.22268584723454	1.7634642338886e-07	1.49273981724162e-05	ENSMUSG00000044734	66222
Rrm1	5737.60026711742	0.586853127077288	0.112403383326515	5.22095607542851	1.78001760862796e-07	1.49750806546719e-05	ENSMUSG00000030978	20133
Pdcd4	1311.45139048575	-0.773526841675254	0.148543298838487	-5.20741660999679	1.91487845696062e-07	1.591438077594e-05	ENSMUSG00000024975	18569
Tmem238	187.03569056145	-1.55757209349786	0.299063900544677	-5.20815815837718	1.90724328619585e-07	1.591438077594e-05	ENSMUSG00000030431	664968
Kif15	861.319169904506	0.827988270361278	0.159255818108899	5.19910845451874	2.00246666850269e-07	1.6542063509143e-05	ENSMUSG00000036768	209737
Irak3	46.3777780713193	-2.7013914539836	0.475546329490639	-5.68060625528765	1.34218138901966e-08	1.74215144294752e-05	ENSMUSG00000020227	73914
0610012G03Rik	755.429338025623	-0.903035543791571	0.174151805440996	-5.18533552669673	2.15626308853519e-07	1.76958097076606e-05	ENSMUSG00000107002	106264
Sptan1	1359.57892955548	0.781786934839202	0.150798095733444	5.1843289601025	2.16793993355719e-07	1.76958097076606e-05	ENSMUSG00000057738	20740
Brca1	354.24366104199	1.38800858342781	0.268451193004154	5.17043179393258	2.33553707107045e-07	1.8951017666029e-05	ENSMUSG00000017146	12189
Cpa3	28.4619379536066	-8.19097521288838	1.58783027542125	-5.15859619235142	2.48808270865112e-07	1.99526773004286e-05	ENSMUSG00000001865	12873
H2-K1	29895.3313348592	-0.568294368021441	0.110163792202704	-5.15863113150433	2.48761853213466e-07	1.99526773004286e-05	ENSMUSG00000061232	14972
Tm6sf1	437.14302939794	-1.14197680090199	0.222885172706775	-5.1236104539101	2.99739923223907e-07	2.38972881812177e-05	ENSMUSG00000038623	107769
Znhit2	558.057595373535	-0.977247154401983	0.190899864688249	-5.1191610638273	3.06897782817878e-07	2.43265277212807e-05	ENSMUSG00000075227	29805
Dock11	1345.41477093716	0.810791624174553	0.15874017593577	5.10766489576413	3.26164426530001e-07	2.57051309253213e-05	ENSMUSG00000031093	75974
Chd7	1390.23234429459	0.715448306890505	0.140281086214118	5.10010526863528	3.39464628928089e-07	2.66004483228051e-05	ENSMUSG00000041235	320790
Ccdc82	470.353905846397	1.08601108587963	0.212994252907022	5.09878116924453	3.41847468761213e-07	2.66349678359234e-05	ENSMUSG00000079084	66396
Rpl8	6418.93515980552	-0.714582028957995	0.140643683578586	-5.08079716611456	3.75854271063221e-07	2.91191503903387e-05	ENSMUSG00000003970	26961
Ankrd50	276.985773699457	1.48279084381433	0.292055524162857	5.0770854208787	3.83268591228335e-07	2.93617999525931e-05	ENSMUSG00000044864	99696
Pou2f2	527.241526401377	-1.04840803054157	0.206491023224942	-5.07725718129393	3.82922401976348e-07	2.93617999525931e-05	ENSMUSG00000008496	18987
Ifitm1	88.3471811282082	-2.70384448899262	0.533247568696912	-5.07052380116791	3.9672229521749e-07	3.02236268573191e-05	ENSMUSG00000025491	68713
Tspan17	111.452661569231	1.82508151529297	0.360640708062195	5.06066418596932	4.17798506490874e-07	3.16534304945268e-05	ENSMUSG00000025875	74257
