Nf1	Nf2	Nf3	Rx1	Rx2	Rx3
Apc2	188	358	283	379	522	1060
Apcdd1	44	32	51	59	86	72
Apcs	1	0	0	0	0	0
Apeh	155	132	117	123	178	106
Apela	0	0	17	0	2	0
Apex1	16	24	22	14	0	8
Apex2	103	155	120	98	117	119
Aph1a	327	307	283	278	304	325
Aph1b	309	283	257	185	223	287
Aph1c	411	433	346	169	208	351
Api5	1319	1398	1612	1162	1176	1279
Apip	174	217	208	175	267	156
Apitd1	3	3	4	14	1	3
Aplf	651	711	573	562	465	604
Apln	17	25	23	7	13	7
Aplnr	61	59	103	66	96	76
Aplp1	102	185	121	180	361	519
Aplp2	5873	5133	5550	6959	6891	8731
Apmap	483	291	437	791	875	494
Apoa1	0	0	0	6	0	0
Apoa1bp	119	119	153	128	214	149
Apoa2	0	0	2	0	2	0
Apoa4	0	0	0	0	0	0
Apoa5	0	0	0	0	0	0
Apob	14	0	5	16	13	5
Apobec1	2770	1820	4485	631	431	911
Apobec2	13	497	2	11	554	8
Apobec3	1429	1661	1524	479	385	602
Apobec4	10	25	14	25	3	20
Apobr	342	299	505	31	53	93
Apoc1	69	32	66	255	328	20
Apoc2	5	9	12	3	3	4
Apoc3	0	0	0	6	1	3
Apoc4	0	3	0	0	0	0
Apod	209763	188924	179736	55318	23923	42402
Apoe	2435	2310	4289	1377	1022	1905
Apof	9	4	3	5	0	3
Apoh	0	4	0	3	2	4
Apol10a	0	0	0	0	9	0
Apol10b	8	5	9	10	10	4
Apol11a	0	0	0	0	3	7
Apol11b	1	2	11	19	62	17
Apol6	177	171	158	162	144	83
Apol7a	2	0	0	0	0	2
Apol7b	0	0	0	0	0	0
Apol7c	2	0	14	0	0	5
Apol7d	0	2	6	3	2	3
Apol7e	4	1	8	5	0	1
Apol8	6	0	0	2	1	0
Apol9a	15	10	49	1	2	2
Apol9b	8	29	31	3	2	2
Apold1	20	60	31	32	40	13
Apom	3	13	12	8	3	8
Apon	3	0	3	0	2	0
Apoo	105	102	144	223	370	205
Apoo-ps	0	0	0	0	0	0
Apool	162	199	124	103	193	78
Apopt1	342	435	307	325	300	421
App	5431	6673	6379	3780	2878	5098
Appbp2	1253	1521	1132	1238	1063	1293
Appl1	2511	2508	2609	1969	2016	2371
Appl2	2359	2879	2679	1914	1652	2315
Aprt	95	217	109	94	46	78
Aptx	614	652	547	622	525	862
Aqp1	451	1119	653	690	820	885
Aqp11	17	21	7	41	52	19
Aqp12	0	0	0	0	0	0
Aqp2	2	0	0	0	6	0
Aqp3	10	0	13	2	0	1
Aqp4	49	73	19	73	336	268
Aqp5	0	2	5	0	0	0
Aqp6	0	0	0	0	0	0
Aqp7	380	258	308	709	789	238
Aqp8	0	0	0	0	0	0
Aqp9	62	9	41	0	2	14
Aqr	874	1048	1031	691	636	834
Ar	33	90	51	148	218	134
Araf	1047	1335	995	1028	911	1026
Arap1	802	1065	994	452	372	591
Arap2	2058	2409	2250	1295	1037	1458
Arap3	666	477	814	322	265	261
Arc	21	3	31	43	35	72
Arcn1	2493	2850	2513	1826	1687	2115
Areg	0	0	0	2	0	2
Arel1	750	961	788	805	841	884
Arf1	2730	3383	3216	2322	2287	2979
Arf2	356	325	348	201	239	225
Arf3	8915	10204	10536	8818	8589	14343
Arf4	3606	3444	3928	2340	1847	2327
Arf5	20	36	10	15	11	23
Arf6	1129	741	1121	552	407	637
Arfgap1	392	628	448	303	244	328
Arfgap2	358	516	357	321	351	368
Arfgap3	212	399	232	149	130	264
Arfgef1	2386	2823	2393	2093	2288	3173
Arfgef2	1079	1301	1065	1429	1678	2371
Arfip1	1338	1176	1505	842	905	1139
Arfip2	275	385	376	279	294	410
Arfrp1	316	358	335	356	228	263
Arg1	354	118	666	12	22	52
Arg2	45	46	39	44	39	110
Arglu1	999	1069	960	772	676	982
Arhgap1	688	739	787	514	470	790
Arhgap10	287	483	361	261	304	280
Arhgap11a	340	503	479	127	88	158
Arhgap12	2103	2165	2055	1544	1395	2172
Arhgap15	590	308	837	170	53	163
Arhgap15os	115	41	126	22	6	27
Arhgap17	1118	1274	1517	769	677	1030
Arhgap18	989	800	1101	388	277	400
Arhgap19	1588	2194	1930	3790	3296	4605
Arhgap20	203	332	181	375	557	623
Arhgap20os	10	3	12	6	3	12
Arhgap21	2073	2861	1944	2100	1878	2743
Arhgap22	138	129	170	37	22	59
Arhgap23	716	977	894	1032	769	1499
Arhgap24	717	999	640	768	693	851
Arhgap25	838	419	1166	150	109	280
Arhgap26	1060	1549	1360	1371	1500	2228
Arhgap27	230	289	470	305	202	322
Arhgap27os3	95	101	242	20	56	38
Arhgap28	86	253	117	404	452	1009
Arhgap29	1762	2072	1278	1672	1568	1592
Arhgap30	1622	1437	2458	255	116	460
Arhgap31	2294	2866	2418	2160	1969	2398
Arhgap32	5136	4643	5473	3038	2351	3401
Arhgap33	116	230	196	160	157	296
Arhgap33os	7	10	0	11	9	5
Arhgap35	4612	5237	4609	4947	5162	8180
Arhgap36	7	48	21	27	32	75
Arhgap39	2702	2705	2860	2125	1411	2441
Arhgap4	189	176	360	67	41	63
Arhgap40	0	3	0	0	1	0
Arhgap42	1447	2470	1168	1273	842	1212
Arhgap44	97	170	97	385	489	806
Arhgap5	1777	1595	1580	1680	1843	1686
Arhgap6	276	245	292	142	124	137
Arhgap8	6	7	9	8	5	4
Arhgap9	187	109	291	22	3	33
Arhgdia	2544	2778	3596	2331	2000	3594
Arhgdib	1543	2086	2630	424	238	550
Arhgdig	29	31	8	40	44	130
Arhgef1	795	864	985	549	411	539
Arhgef10	3014	4140	2610	3215	1968	2756
Arhgef10l	507	422	473	397	405	639
Arhgef11	1528	2132	1586	1391	1445	2509
Arhgef12	8851	9226	9093	7522	7211	8892
Arhgef15	56	137	127	200	223	116
Arhgef16	33	24	94	28	16	58
Arhgef17	1998	2140	1604	1893	1754	2790
Arhgef18	327	558	345	320	315	401
Arhgef19	114	165	109	29	19	29
Arhgef2	629	713	932	335	258	456
Arhgef25	194	315	180	182	226	296
Arhgef26	1172	1451	1208	850	635	766
Arhgef28	621	634	607	531	520	681
Arhgef3	1043	854	1279	600	587	750
Arhgef33	5	13	4	19	19	21
Arhgef37	89	98	65	166	102	186
Arhgef38	0	0	0	0	0	0
Arhgef39	12	7	16	3	3	7
Arhgef4	42	52	23	81	72	182
Arhgef40	1507	1505	1562	766	633	1010
Arhgef5	304	429	229	203	167	179
Arhgef6	3678	3985	4210	1686	1450	1858
Arhgef7	979	1108	1491	908	731	1272
Arhgef9	2574	2347	2221	1926	1778	2809
Arid1a	4314	5086	5289	3719	2932	4426
Arid1b	1201	1504	1330	1045	764	1098
Arid2	1933	2035	1980	1293	1142	1518
Arid3a	200	252	243	100	77	137
Arid3b	231	201	304	89	77	161
Arid3c	4	1	1	0	1	0
Arid4a	2359	2420	2748	1459	1196	1733
Arid4b	1549	1879	1515	1165	969	1424
Arid5a	138	203	140	134	66	118
Arid5b	731	1481	913	681	374	505
Arih1	4983	5364	5397	4061	4000	5425
Arih2	613	877	807	597	589	589
Arl1	136	166	217	123	111	199
Arl10	143	128	102	102	75	61
Arl11	70	100	48	22	0	15
Arl13a	15	29	13	14	16	14
Arl13b	287	397	332	194	185	227
Arl14	4	0	2	0	0	0
Arl14ep	789	764	838	599	587	796
Arl14epl	16	30	13	1	0	1
Arl15	373	454	548	310	321	549
Arl16	105	178	142	194	293	335
Arl2	77	80	85	51	90	114
Arl2bp	569	514	586	472	459	714
Arl3	247	251	217	240	267	408
Arl4a	694	1237	615	1152	852	564
Arl4c	860	594	1237	352	402	705
Arl4d	7	38	2	30	9	39
Arl5a	5974	5867	8005	3163	2643	3311
Arl5b	511	478	566	371	326	371
Arl5c	35	29	95	11	3	16
Arl6	246	394	285	342	327	402
Arl6ip1	633	838	828	1086	921	1700
Arl6ip4	134	149	133	104	125	145
Arl6ip5	173	137	191	133	147	260
Arl6ip6	356	424	333	250	225	249
Arl8a	1089	1114	1167	1051	1154	1797
Arl8b	1503	1702	1805	1813	1878	2552
Arl9	16	28	7	9	9	6
Armc1	874	1014	876	873	915	1164
Armc10	360	428	410	315	351	480
Armc12	0	0	0	0	0	0
Armc2	131	138	92	115	64	91
Armc3	3	1	9	0	0	0
Armc4	5	0	1	5	4	0
Armc5	129	95	135	117	113	131
Armc6	8	13	33	44	17	48
Armc7	40	65	74	37	13	81
Armc8	1733	1827	1600	1618	1525	2405
Armc9	214	138	254	116	92	156
Armcx1	240	339	247	428	500	1015
Armcx2	282	299	278	390	335	734
Armcx3	1025	1327	1135	1174	1246	2076
Armcx4	600	934	747	561	529	876
Armcx5	161	128	139	105	113	179
Armcx6	26	11	29	33	29	65
Arnt	2033	2859	2149	1646	1519	1527
Arnt2	934	829	722	784	755	1146
Arntl	146	111	164	87	76	96
Arntl2	449	515	325	142	72	211
Arpc1a	907	825	930	848	661	872
Arpc1b	4495	3666	5657	2544	1638	2398
Arpc2	3212	3203	4227	2182	1817	2436
Arpc3	109	150	188	87	94	143
Arpc4	367	398	490	275	230	316
Arpc5	2329	1969	2712	1941	1698	2782
Arpc5l	280	428	372	273	327	267
Arpp19	1808	1960	2163	2016	2140	2745
Arpp21	54	206	44	203	307	540
Arr3	12	17	2	7	7	6
Arrb1	2594	4020	2520	2357	1809	3663
Arrb2	471	533	750	188	149	322
Arrdc1	86	69	161	54	40	66
Arrdc2	46	155	21	40	48	41
Arrdc3	1052	1402	1152	750	645	720
Arrdc4	268	292	402	226	169	199
Arrdc5	0	0	0	0	0	2
Arsa	65	97	95	70	76	142
Arsb	1877	1886	4210	1392	923	1445
Arsg	93	93	68	57	78	65
Arsi	2	15	6	7	0	0
Arsj	31	24	20	10	2	15
Arsk	430	522	403	315	242	325
Art1	3	36	2	0	105	3
Art2a-ps	90	53	274	0	14	25
Art2b	11	0	45	0	0	6
Art3	2458	3115	2581	2815	2152	2173
Art4	11	44	14	49	37	59
Art5	4	35	13	2	19	9
Artn	0	0	0	0	0	3
Arv1	28	64	61	30	35	75
Arvcf	240	399	208	434	375	616
Arx	0	0	0	0	0	0
Arxes1	3	1	5	37	15	35
Arxes2	38	24	45	157	112	59
As3mt	191	160	215	126	94	134
Asah1	1603	2341	1503	1303	753	1308
Asah2	730	882	652	521	686	726
Asap1	1585	1744	1730	2256	2502	4919
Asap2	2624	2825	3240	2496	1251	2317
Asap3	245	341	175	123	131	173
Asb1	294	340	285	357	334	500
Asb10	3	9	0	5	114	11
Asb11	0	66	0	4	118	3
Asb12	2	52	0	0	32	0
Asb13	186	251	233	195	266	429
Asb14	127	244	71	73	315	69
Asb15	38	802	19	30	682	40
Asb16	0	0	0	0	3	0
Asb17	0	3	0	0	5	4
Asb17os	0	0	1	1	3	9
Asb18	0	3	0	1	3	0
Asb2	147	84	193	32	135	31
Asb3	289	342	294	203	165	258
Asb4	1	17	3	5	40	0
Asb5	42	315	22	31	397	19
Asb6	74	76	107	49	102	95
Asb7	1060	1308	1115	919	838	1065
Asb8	479	399	530	502	603	652
Asb9	0	0	0	0	0	3
Ascc1	72	176	76	62	63	84
Ascc2	398	468	440	328	210	375
Ascc3	2400	2359	2972	1426	1265	1568
Ascl1	2	2	13	0	18	2
Ascl2	10	17	0	11	11	6
Ascl3	0	0	0	0	0	0
Ascl4	1	0	3	2	8	16
Ascl5	0	0	0	0	0	0
Asf1a	401	439	464	369	285	302
Asf1b	22	35	43	8	30	24
Asgr1	3	0	3	0	0	0
Asgr2	21	3	17	31	0	10
Ash1l	6689	7983	7305	5555	5187	6908
Ash2l	824	947	762	738	696	848
Asic1	72	100	82	207	214	310
Asic2	51	120	63	167	172	497
Asic3	58	139	40	172	157	468
Asic4	6	13	3	18	17	19
Asic5	2	0	0	0	0	9
Asl	73	98	114	54	62	95
Asmt	0	0	0	0	0	0
Asna1	407	327	423	331	387	413
Asns	151	244	212	444	416	634
Asnsd1	317	360	395	255	377	415
Aspa	1639	1719	1576	2484	2293	2403
Aspdh	23	8	17	31	18	35
Aspg	49	13	22	48	181	9
Asph	2415	2739	2603	2776	2377	3060
Asphd1	1	1	7	21	42	29
Asphd2	41	52	22	61	29	41
Aspm	176	264	196	89	24	120
Aspn	290	909	389	245	197	105
Asprv1	0	27	2	13	2	14
Aspscr1	39	70	47	53	33	55
Asrgl1	471	520	601	402	450	644
Ass1	0	0	0	0	0	0
Aste1	258	345	294	189	168	224
Astl	0	6	0	0	0	1
Astn1	436	376	404	1156	824	1784
Astn2	89	82	144	75	114	230
Asun	513	557	612	295	339	420
Asxl1	974	883	1112	785	675	1008
Asxl2	2655	2918	2904	2019	1704	2148
Asxl3	1029	763	978	762	549	1015
Asz1	3	0	0	0	0	0
Atad1	2181	2238	2175	2206	2217	2853
Atad2	792	1181	940	574	508	851
Atad2b	1233	1270	1408	699	678	861
Atad3a	174	169	276	210	349	174
Atad3aos	21	31	28	12	20	36
Atad5	292	340	351	265	161	279
Atat1	586	319	521	410	428	490
Atcay	29	120	45	232	268	498
Atcayos	0	0	0	0	7	0
Ate1	840	841	909	858	860	1027
Atf1	1410	1739	1998	978	898	1034
Atf2	3614	3786	3355	3559	3783	4141
Atf3	110	114	146	116	84	102
Atf4	572	762	687	517	567	705
Atf5	198	329	338	195	239	194
Atf6	2821	3155	3170	1993	1828	2060
Atf6b	129	188	150	118	87	125
Atf7	589	820	577	532	458	594
Atf7ip	2627	2971	3053	1867	1868	2120
Atf7ip2	8	0	1	0	0	3
Atg10	135	193	153	182	189	203
Atg101	29	81	63	42	65	61
Atg12	284	299	313	275	405	351
Atg13	381	931	522	544	476	613
Atg14	186	205	222	203	171	194
Atg16l1	255	344	299	220	200	236
Atg16l2	79	106	75	62	56	93
Atg2a	257	416	379	259	258	348
Atg2b	1110	1489	1123	986	940	1484
Atg3	1057	1245	1440	1021	1266	1489
Atg4a	189	134	147	130	163	160
Atg4b	220	238	291	175	169	236
Atg4c	624	693	544	472	421	656
Atg4d	139	212	83	147	109	100
Atg5	209	229	164	169	207	246
Atg7	366	514	372	252	239	418
Atg9a	317	471	311	427	489	574
Atg9b	3	24	7	24	47	13
Athl1	139	167	126	86	95	108
Atic	450	586	497	454	357	549
Atl1	517	782	358	828	931	1857
Atl2	552	986	780	1235	1436	962
Atl3	8594	9218	8254	7512	6926	8414
Atm	1592	1456	1865	1208	1218	1792
Atmin	379	412	517	595	554	895
Atn1	1526	1878	1690	1086	1149	1690
Atoh1	0	0	0	0	0	0
Atoh7	0	0	0	0	0	0
Atoh8	7	24	21	14	11	29
Atox1	91	71	132	88	62	92
Atp10a	464	660	518	380	184	302
Atp10b	23	10	0	22	36	143
Atp10d	703	823	1060	377	303	320
Atp11a	2040	2554	2211	2970	3709	5731
Atp11b	1923	1930	1957	1704	1237	1963
Atp11c	1197	1190	1210	955	768	1131
Atp12a	0	0	0	0	0	0
Atp13a1	243	380	334	180	193	256
Atp13a2	300	382	316	313	400	692
Atp13a3	3859	4667	3556	3343	3047	3208
Atp13a4	0	2	0	1	13	19
Atp13a5	0	17	0	4	17	7
Atp1a1	2957	4516	3275	5543	5935	12471
Atp1a2	9839	11205	7403	8445	9750	7288
Atp1a3	346	713	516	1472	1908	3713
Atp1a4	0	6	1	1	5	1
Atp1b1	1418	3479	1545	5104	7063	13678
Atp1b2	2381	2627	2176	2001	1626	2248
Atp1b3	1626	2345	1916	2742	2348	4342
Atp1b4	23	51	18	14	19	5
Atp2a1	324	14784	18	177	28119	287
Atp2a2	3599	4616	4012	3991	3785	5798
Atp2a3	112	111	154	72	68	86
Atp2b1	3272	3932	3849	2876	2877	5000
Atp2b2	148	354	125	866	952	2399
Atp2b3	79	239	138	499	600	1307
Atp2b4	958	1970	970	1253	1075	1677
Atp2c1	2248	2114	2326	2185	2140	2873
Atp2c2	0	0	2	0	3	1
Atp4a	3	11	3	0	2	0
Atp4b	1	15	3	1	32	0
Atp5a1	2715	3611	3380	5589	9266	4917
Atp5b	13956	15402	15905	29832	48915	21206
Atp5c1	1188	1410	1279	1615	2490	1416
Atp5d	384	485	459	554	820	565
Atp5e	106	170	119	145	229	142
Atp5f1	691	837	705	1105	1411	1024
Atp5g1	247	422	268	290	535	441
Atp5g2	125	147	116	90	134	103
Atp5g3	400	577	436	765	984	824
Atp5h	454	579	524	706	1028	712
Atp5j	626	836	696	752	1117	763
Atp5j2	193	226	301	373	469	310
Atp5k	91	113	85	143	213	114
Atp5l	284	358	334	425	675	381
Atp5o	298	293	361	360	772	370
Atp5s	185	194	218	242	292	318
Atp5sl	46	168	127	74	109	110
Atp6ap1	3145	3532	3409	2618	2431	4014
Atp6ap1l	0	11	0	6	4	15
Atp6ap2	394	437	432	413	409	706
Atp6v0a1	1253	1595	1355	1308	1474	2450
Atp6v0a2	806	859	977	651	694	718
Atp6v0a4	7	18	12	0	3	1
Atp6v0b	399	691	631	558	471	878
Atp6v0c	0	0	0	0	0	0
Atp6v0c-ps2	0	0	0	0	0	0
Atp6v0d1	633	933	626	925	845	1519
Atp6v0d2	74	188	75	7	19	33
Atp6v0e	480	625	648	446	373	303
Atp6v0e2	122	210	233	209	206	480
Atp6v1a	3152	4123	3436	4454	4985	8568
Atp6v1b1	2	13	3	16	9	5
Atp6v1b2	858	1006	1007	1108	1270	2195
Atp6v1c1	633	863	733	781	938	1420
Atp6v1c2	6	13	9	8	20	16
Atp6v1d	602	699	754	744	859	1044
Atp6v1e1	174	251	230	289	253	390
Atp6v1e2	0	0	0	0	0	0
Atp6v1f	101	88	99	96	92	161
Atp6v1g1	397	356	506	329	408	550
Atp6v1g2	258	340	270	444	489	1225
Atp6v1g3	0	0	0	0	0	0
Atp6v1h	352	425	328	412	440	666
Atp7a	3673	3953	4220	2145	1586	2524
Atp7b	18	35	31	10	14	11
Atp8a1	3002	3423	3545	3698	4055	6616
Atp8a2	117	166	85	410	529	1046
Atp8b1	2314	1711	1981	866	416	665
Atp8b2	403	504	474	306	347	569
Atp8b3	0	0	0	0	2	0
Atp8b4	659	440	1013	109	15	128
Atp8b5	52	28	38	35	51	71
Atp9a	272	485	273	320	437	715
Atp9b	831	933	878	630	660	966
Atpaf1	430	468	339	389	649	766
Atpaf2	151	138	101	226	246	146
Atpif1	346	471	534	523	480	994
Atr	814	1042	742	637	668	909
Atraid	194	282	200	211	228	196
Atrip	123	182	190	115	88	136
Atrn	3757	3765	3479	3823	3204	5053
Atrnl1	768	1209	863	1512	1567	3066
Atrx	8319	8185	8162	4674	3920	5857
Atxn1	2507	3701	2622	4313	4518	5150
Atxn10	1096	1222	1209	1150	1152	1894
Atxn1l	1639	1783	1785	1326	1216	1388
Atxn2	3010	3232	3126	3231	3136	3733
Atxn2l	2398	2982	2704	2012	1574	2516
Atxn3	1055	1064	1150	675	621	1050
Atxn7	2243	2325	2312	1691	1531	1718
Atxn7l1	826	912	1145	709	598	747
Atxn7l2	34	32	52	35	31	83
Atxn7l3	212	246	237	224	196	395
Atxn7l3b	1032	1144	1132	1029	775	1285
AU015228	0	0	0	0	1	0
AU015791	2	0	3	1	3	0
AU015836	0	0	0	0	0	0
AU016765	0	0	0	0	0	0
AU018091	4	0	0	4	1	1
AU018829	0	0	0	0	0	0
AU019823	498	493	388	333	230	257
AU019990	8	3	3	5	5	3
AU021063	0	0	0	0	0	0
AU021092	23	20	27	24	20	12
AU022252	64	75	73	53	88	112
AU022751	0	3	0	11	1	8
AU022754	0	7	0	7	3	2
AU022793	16	0	7	1	0	3
AU023762	173	171	156	111	80	137
AU040320	258	392	369	239	284	307
AU040972	481	395	516	255	241	352
AU041133	119	129	66	78	91	120
Auh	202	363	206	274	422	490
Aup1	219	247	303	194	210	177
Aurka	27	66	73	40	13	18
Aurkaip1	141	183	184	156	228	263
Aurkb	86	100	103	35	1	35
Aurkc	0	0	2	8	0	0
Auts2	887	1164	618	1140	716	1426
AV039307	59	76	39	56	62	74
AV051173	21	14	20	14	19	10
AV320801	0	0	0	0	0	0
Aven	19	32	21	27	27	38
Avil	218	558	214	913	1121	2398
Avl9	888	955	999	792	741	1247
Avp	0	0	0	0	0	0
Avpi1	100	107	49	61	49	53
Avpr1a	6	50	18	25	19	10
Avpr1b	0	0	0	0	0	10
Avpr2	20	14	18	5	0	6
AW011738	147	148	292	84	69	67
AW046200	39	86	60	26	29	28
AW112010	240	175	407	105	49	30
AW146154	182	132	175	99	105	113
AW209491	82	74	60	115	155	129
AW495222	0	0	0	1	0	0
AW549542	12	13	11	13	28	18
AW549877	2322	2518	2213	1909	1816	2152
AW551984	82	84	72	55	47	74
AW554918	684	763	668	529	461	634
AW822252	26	12	21	13	7	13
Awat1	0	0	0	0	0	0
Awat2	18	49	5	10	6	17
Axin1	220	211	232	165	162	169
Axin2	206	170	135	182	294	255
Axl	8311	9661	9005	3634	1987	2917
AY074887	5	3	4	4	2	7
AY358078	0	0	0	4	0	0
AY512915	0	1	0	0	0	0
AY512931	140	117	118	104	104	107
AY761184	0	1	0	0	0	0
AY761185	0	0	0	0	0	0
Aym1	0	0	0	0	0	0
Azgp1	0	18	0	2	0	1
Azi2	2022	2349	2333	1611	1702	2184
Azin1	2144	2906	2028	2288	1442	2161
B020004C17Rik	0	0	0	0	0	0
B020004J07Rik	21	16	12	21	15	11
B020014A21Rik	10	5	3	1	3	3
B020018J22Rik	0	0	3	0	2	8
B020031M17Rik	0	0	4	0	0	0
B130006D01Rik	340	197	324	133	89	128
B130024G19Rik	840	976	534	571	325	565
B130034C11Rik	8	24	16	14	18	24
B230112J18Rik	2	6	2	6	1	16
B230118H07Rik	181	175	149	174	255	190
B230119M05Rik	3	0	0	1	2	0
B230206H07Rik	290	254	277	546	418	663
B230208H11Rik	31	41	25	49	33	20
B230209E15Rik	3	4	5	11	4	2
B230214G05Rik	0	0	0	0	0	6
B230216G23Rik	27	46	32	28	13	21
B230216N24Rik	81	84	62	77	26	97
B230217C12Rik	118	109	157	148	143	331
B230217O12Rik	29	24	54	27	26	78
B230219D22Rik	3135	2998	2992	2543	2453	3094
B230312C02Rik	5	0	0	2	6	4
B230319C09Rik	49	65	99	40	44	23
B230323A14Rik	0	0	0	0	0	3
B2m	36851	43869	70806	17660	13890	13272
B330016D10Rik	17	10	5	3	3	13
B3galnt1	507	494	429	283	258	338
B3galnt2	443	743	544	318	526	384
B3galt1	101	182	102	233	278	534
B3galt2	1267	880	1117	2120	1467	1762
B3galt4	7	5	14	0	2	4
B3galt5	105	96	39	64	56	103
B3galt6	50	69	50	43	41	50
B3gat1	17	8	13	77	85	173
B3gat2	99	92	75	69	85	73
B3gat3	105	160	173	100	154	202
B3glct	880	913	953	747	740	1396
B3gnt1	168	253	184	222	182	253
B3gnt2	926	1292	2342	929	718	1254
B3gnt3	421	611	133	157	133	108
B3gnt4	12	7	2	6	11	30
B3gnt5	107	114	89	306	387	362
B3gnt6	0	9	3	8	7	2
B3gnt7	17	14	2	1	1	0
B3gnt8	47	91	25	30	44	60
B3gnt9	117	130	169	102	58	65
B3gntl1	275	279	231	183	162	182
B430010I23Rik	166	289	180	152	194	182
B430212C06Rik	18	9	38	26	62	12
B430306N03Rik	164	114	364	12	5	13
B430319G15Rik	76	63	40	26	23	38
B4galnt1	282	343	466	247	170	317
B4galnt2	179	195	164	136	122	143
B4galnt3	122	68	103	62	16	82
B4galnt4	8	43	6	15	24	47
B4galt1	1137	1738	1823	835	853	674
B4galt2	88	98	81	59	54	80
B4galt3	81	94	99	69	64	118
B4galt4	442	440	505	243	230	400
B4galt5	655	983	1006	645	485	1012
B4galt6	2040	3139	1728	1537	1265	2598
B4galt7	14	56	57	38	34	21
B630005N14Rik	1471	1528	1485	1021	814	1019
B630019K06Rik	19	33	25	15	9	44
B830017H08Rik	2	2	2	3	0	5
B930003M22Rik	34	38	30	26	36	17
B930018H19Rik	5	0	8	25	4	4
B930025P03Rik	0	0	5	4	0	0
B930041F14Rik	305	318	248	249	256	551
B930059L03Rik	16	8	27	16	2	8
B930092H01Rik	0	0	0	0	3	0
B9d1	100	186	70	95	54	94
B9d2	49	69	59	35	45	62
Baalc	53	54	71	43	66	157
Baat	5	7	8	4	1	11
Babam1	176	216	141	133	132	223
Bace1	779	1036	733	786	860	1136
Bace2	533	584	561	358	265	666
Bach1	1412	1515	1254	1000	585	921
Bach2	1021	1300	1257	942	900	1808
Bach2os	34	48	76	40	30	80
Bad	48	111	61	176	164	447
Bag1	605	675	567	729	837	846
Bag2	51	55	85	93	147	230
Bag3	1216	1788	1322	1157	1185	1918
Bag4	324	345	245	361	314	387
Bag5	582	668	744	578	587	759
Bag6	457	685	697	526	576	631
Bahcc1	444	697	493	248	238	344
Bahd1	183	167	208	185	127	215
Bai1	162	90	100	151	223	302
Bai2	62	75	36	22	31	49
Bai3	66	108	83	157	248	442
Baiap2	407	415	405	266	211	313
Baiap2l1	158	214	156	282	229	501
Baiap2l2	0	0	0	8	0	0
Baiap3	7	14	3	1	3	4
Bak1	465	596	702	300	181	277
Bambi	88	74	47	55	33	63
Bambi-ps1	17	5	18	3	6	9
Banf1	181	313	224	188	217	171
Banf2	0	0	0	0	0	0
Bank1	152	64	278	130	58	83
Banp	191	265	299	343	213	176
Bap1	237	367	311	373	457	609
Bard1	58	81	73	28	11	46
Barhl1	1	0	0	0	0	1
Barhl2	0	4	0	1	0	0
Barx1	0	0	0	0	0	0
Barx2	0	2	3	1	3	24
Basp1	171	246	329	259	305	664
Batf	17	33	49	2	2	9
Batf2	61	11	58	3	4	9
Batf3	37	7	51	6	2	8
Bax	79	113	90	62	38	75
Baz1a	1792	1340	2605	734	586	1008
Baz1b	2518	3188	2776	1936	1866	2116
Baz2a	1568	1910	2007	1571	1313	1669
Baz2b	4392	4504	4549	3005	2446	3416
BB014433	0	0	0	0	0	0
BB019430	0	0	1	0	0	0
BB031773	1	11	0	12	19	35
BB123696	7	13	6	7	0	4
BB283400	17	35	17	19	14	10
BB287469	0	0	0	0	0	0
BB557941	0	0	0	0	2	1
Bbc3	10	27	22	6	3	12
Bbip1	688	735	575	469	542	702
Bbox1	22	8	15	3	6	5
Bbs1	634	699	447	543	427	682
Bbs10	159	165	191	175	166	261
Bbs12	121	138	140	66	44	84
Bbs2	453	673	476	506	441	692
Bbs4	331	409	404	326	324	456
Bbs5	154	147	110	121	87	168
Bbs7	244	361	265	265	285	419
Bbs9	418	607	539	535	471	690
Bbx	2439	2871	2466	2117	1920	2765
BC002163	35	45	34	32	30	29
BC003331	1224	1544	1352	1248	1229	1356
BC003965	354	468	429	478	422	553
BC004004	371	440	405	500	602	425
BC005537	1526	1907	1672	1103	1092	1262
BC005561	587	675	484	461	483	489
BC005624	451	558	478	349	536	558
BC005764	951	1148	1055	557	442	523
BC006965	13	13	7	6	3	1
BC016579	0	16	2	0	23	2
BC017158	248	325	266	197	143	276
BC017643	226	266	379	124	128	214
BC018242	90	129	108	78	110	199
BC018473	1	1	3	0	0	9
BC018507	1993	2235	2018	1887	1626	2245
BC020402	54	92	51	31	45	36
BC021614	2	1	0	3	1	4
BC021767	11	6	4	2	4	11
BC021785	44	68	47	28	29	35
BC021891	6	8	10	38	44	108
BC022687	32	11	17	12	6	16
BC023829	306	357	283	281	248	255
BC024139	0	0	0	0	0	0
BC024386	5	12	2	9	12	10
BC024978	273	381	317	251	270	287
BC025920	26	28	23	37	69	17
BC026585	86	36	95	53	78	94
BC027072	0	0	0	0	0	0
BC027231	557	619	556	408	411	477
BC028528	74	121	103	68	86	47
BC029214	24	36	44	33	29	65
BC029722	8	34	17	12	21	21
BC030307	38	66	19	68	62	84
BC030336	894	856	975	864	953	1174
BC030499	58	24	48	47	35	28
BC030500	0	7	1	2	0	16
BC030867	17	12	34	2	2	8
BC030870	0	0	2	0	0	0
BC031181	275	294	312	315	347	426
BC031361	56	71	108	30	63	52
BC033916	160	160	190	147	132	134
BC035044	132	72	240	12	3	33
